"Original XML Dita File","UUID"
"analytics-appmeasurement-release-master/src-migrate/home.xml","89d06844-5c02-422e-b6f4-3b8e1bc017bf"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_mjs.xml","1440013d-d266-4dce-9807-8b9adac73315"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_javascript.xml","4586b250-0f1b-45b8-829c-18dc1201956f"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_flash.xml","2ee7fb92-9b62-44d4-bd93-6dff26764b7f"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_ios.xml","cc98f8f2-f619-4b31-abf9-e43f4deac64f"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_android.xml","32232d28-3459-4f78-bb00-ca3163c63461"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_phonegap.xml","430f5e71-909e-4841-b8fb-2895b01736ad"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_winu.xml","7acbeaed-2d9d-4a99-a249-d898958d080e"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_wp8.xml","7378969a-d219-42bf-9750-141acc9e4b7d"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_winrt.xml","cec19d63-114c-4ef6-a55e-db6aad4e948b"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_osx.xml","d5e46c86-2d00-4a18-8eee-dcaf082761af"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_net.xml","15c20bca-4886-4d57-9957-fe99743851ea"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_java.xml","14d13bc6-984e-4ef4-a1d5-51326e652868"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_blackberry.xml","1e4e037f-2a8b-4051-9327-c9949efff7b7"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_symbian.xml","000c0b76-00f9-40a5-b9b8-c67798ce705e"
"analytics-appmeasurement-release-master/src-migrate/c_release_notes_php.xml","65a644ef-8e50-406b-8b12-0582495d130a"
